ProductID,ProductName,Category,SubCategory,UnitPrice,Cost,Weight,StockLevel,ReorderPoint,MinimumOrderQuantity
1,Reverse-engineered real-time focus group,Furniture,Tables,410.02,258.0,8.32,263,99,6
2,Up-sized discrete Graphical User Interface,Electronics,Accessories,1647.98,815.34,33.91,329,72,3
3,Diverse tangible encryption,Office Supplies,Supplies,1369.95,818.74,6.58,221,60,7
4,Multi-lateral uniform implementation,Hardware,Networking,23.47,15.87,31.43,337,36,6
5,Profit-focused context-sensitive success,Software,Utilities,391.75,196.58,39.13,114,96,8
6,Future-proofed exuding capacity,Office Supplies,Binders,372.62,213.82,13.11,341,84,3
7,Progressive 4thgeneration open architecture,Electronics,Phones,1291.23,533.09,23.42,379,29,7
8,Multi-tiered dedicated framework,Office Supplies,Labels,707.67,445.39,26.72,111,34,2
9,Innovative tangible matrix,Furniture,Tables,380.54,248.85,14.09,104,60,6
10,Multi-channeled clear-thinking instruction set,Electronics,Tablets,839.41,582.34,32.78,414,55,3
11,Diverse context-sensitive matrix,Electronics,Laptops,1833.75,1125.3,49.47,85,89,9
12,Decentralized regional conglomeration,Office Supplies,Labels,368.57,209.71,38.27,230,95,1
13,User-centric high-level protocol,Furniture,Tables,66.43,39.42,49.76,264,14,2
14,Fully-configurable national migration,Furniture,Furnishings,290.48,148.43,6.4,149,90,10
15,Enhanced maximized standardization,Furniture,Desks,906.97,437.09,4.05,5,72,2
16,Monitored intangible application,Furniture,Storage,944.6,645.02,4.01,396,21,7
17,Cloned next generation contingency,Software,Security,738.68,339.37,1.61,73,87,2
18,Business-focused even-keeled secured line,Hardware,Peripherals,522.64,296.25,32.86,393,34,5
19,Future-proofed context-sensitive middleware,Office Supplies,Art,134.47,79.88,15.93,333,10,1
20,User-centric real-time secured line,Hardware,Networking,323.05,204.99,5.17,238,92,8
21,Robust encompassing hub,Office Supplies,Binders,497.99,261.31,47.26,314,59,1
22,Decentralized scalable strategy,Office Supplies,Supplies,0.0,,36.78,433,85,9
23,Profit-focused zero administration help-desk,Software,Utilities,407.41,180.77,27.78,407,22,10
24,Team-oriented static instruction set,Hardware,Memory,1857.12,1238.2,9.69,139,62,3
25,Up-sized stable collaboration,Office Supplies,Paper,1760.61,785.28,10.32,166,22,1
26,Diverse motivating application,Software,Utilities,601.63,248.71,6.42,251,61,4
27,Open-architected clear-thinking encryption,Hardware,Networking,1939.37,1185.96,46.96,495,13,3
28,Centralized radical initiative,Furniture,Desks,1147.07,492.02,18.95,219,85,6
29,Fully-configurable explicit complexity,Hardware,Peripherals,484.39,254.58,25.99,452,30,4
30,Self-enabling 4thgeneration attitude,Hardware,Peripherals,1078.8,663.55,33.63,329,79,6
31,Compatible solution-oriented policy,Hardware,Peripherals,1772.96,787.04,23.88,434,19,10
32,Re-contextualized national service-desk,Furniture,Storage,1651.29,949.78,12.29,187,88,9
33,Right-sized transitional knowledgebase,Furniture,Tables,462.72,284.24,46.09,88,89,9
