SalesOrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountAmount,ShipDate,ShipMode,SalesPersonID,SalesAmount,Cost,Profit
1001,2022-02-24,98.0,23,2,407.41,0.0,2022-03-02,Express,4,814.82,361.54,453.28000000000003
1002,2024-03-13,96.0,23,4,407.41,71.77,2024-03-18,Standard,2,1557.8700000000001,723.08,834.7900000000001
1003,2023-01-08,42.0,12,6,368.57,0.0,2023-01-12,Express,4,2211.42,1258.26,953.1600000000001
1004,2022-11-05,100.0,44,4,1704.87,0.0,2022-11-08,Express,5,6819.48,2935.04,3884.4399999999996
1005,2024-01-25,12.0,71,8,531.92,0.0,2024-01-31,Next Day,8,4255.36,,
1006,2024-11-07,42.0,26,7,601.63,0.0,2024-11-12,Express,10,4211.41,1740.97,2470.4399999999996
1007,2024-08-07,16.0,52,3,1692.0,0.0,2024-08-11,Next Day,8,5076.0,2325.66,2750.34
1008,2023-02-04,65.0,51,7,1611.93,0.0,2023-02-07,Standard,6,11283.51,5947.55,5335.96
1009,2024-02-12,32.0,58,8,1478.81,0.0,2024-02-19,Next Day,8,11830.48,7052.4,4778.08
1010,2023-08-11,95.0,14,8,290.48,0.0,2023-08-13,Standard,10,2323.84,1187.44,1136.4
1011,2023-03-21,82.0,16,1,944.6,219.01,2023-03-25,Next Day,6,725.59,645.02,80.57000000000005
1012,2023-07-07,13.0,72,2,1432.35,0.0,2023-07-08,Next Day,9,2864.7,1194.44,1670.2599999999998
1013,2023-08-17,14.0,17,8,738.68,206.73,2023-08-19,Express,4,5702.71,2714.96,2987.75
1014,2022-09-17,16.0,15,2,906.97,71.48,2022-09-18,Next Day,6,1742.46,874.18,868.2800000000001
1015,2022-09-16,41.0,44,8,1704.87,0.0,2022-09-18,Next Day,7,13638.96,5870.08,7768.879999999999
1016,2022-01-11,23.0,40,10,1670.28,0.0,2022-01-17,Standard,4,16702.8,9236.0,7466.799999999999
1017,2024-05-21,56.0,5,5,391.75,29.75,2024-05-24,Next Day,2,1929.0,982.9000000000001,946.0999999999999
1018,2022-12-08,19.0,63,1,225.52,0.0,2022-12-11,Standard,7,225.52,147.69,77.83000000000001
1019,2022-11-03,4.0,78,1,1349.62,0.0,2022-11-05,Next Day,8,1349.62,925.0,424.6199999999999
1020,2022-08-19,15.0,38,1,90.95,10.49,2022-08-21,Standard,3,80.46000000000001,43.4,37.06000000000001
1021,2022-03-31,53.0,37,17,448.4,0.0,2022-04-07,Standard,1,7622.799999999999,4720.56,2902.239999999999
1022,2024-02-07,73.0,53,9,1515.28,0.0,2024-02-10,Next Day,2,13637.52,6473.61,7163.910000000001
1023,2022-01-05,24.0,41,18,1216.73,323.74,2022-01-08,Standard,3,21577.399999999998,13472.82,8104.579999999998
1024,2022-08-30,37.0,66,-3,1384.98,0.0,2022-09-06,Express,1,-4154.9400000000005,-1997.6100000000001,-2157.3300000000004
1025,2022-10-29,82.0,19,1,134.47,1.9,2022-11-01,Next Day,6,132.57,79.88,52.69
1026,2024-03-28,21.0,15,9,906.97,0.0,2024-04-03,Next Day,5,8162.7300000000005,3933.81,4228.92
1027,2023-11-14,98.0,69,8,206.61,0.0,2023-11-15,Standard,6,1652.88,1044.0,608.8800000000001
1028,2024-08-03,4.0,45,8,0.0,0.0,2024-08-09,Standard,6,0.0,,
1029,2022-01-11,53.0,22,1,0.0,0.0,2022-01-17,Next Day,8,0.0,,
1030,2022-10-17,70.0,2,3,1647.98,0.0,2022-10-21,Next Day,10,4943.9400000000005,2446.02,2497.9200000000005
